1,1,100,hadi,2025-12-23,2025-12-24,FINISHED,1,100.0,true
2,2,1000,aghiad,2025-12-23,2025-12-23,CANCELLED,1,0.0,false
3,2,100,10,2025-12-27,2025-12-29,FINISHED,1,100.0,true
4,1,100,affas,2025-12-27,2025-12-27,FINISHED,1,100.0,true
5,3,1000,sadfsdf,2025-12-27,2025-12-29,FINISHED,1,100.0,true
6,2,200,dfsafa,2025-12-27,2025-12-29,FINISHED,1,100.0,true
7,3,1000,afdfaf,2025-12-27,2025-12-29,FINISHED,1,100.0,true
8,4,1000,usa,2025-12-27,2026-12-27,CANCELLED,1,0.0,false
9,4,10,l;;l;l;,2025-12-27,2025-12-29,FINISHED,1,100.0,true
10,4,100,fdgfdg,2025-12-27,2025-12-29,CANCELLED,1,0.0,false
11,4,100,afadfa,2025-12-27,2025-12-27,CANCELLED,1,0.0,false
12,4,1000,daffadf,2025-12-27,2025-12-29,FINISHED,2,100.0,true
13,3,100,hadi,2025-12-28,2025-12-29,FINISHED,1,100.0,true
14,4,12,hadi,2025-12-28,2025-12-29,FINISHED,1,100.0,true
15,4,122,hadi,2025-12-28,2025-12-29,FINISHED,2,100.0,true
16,6,800,ismael,2026-01-02,2026-01-04,FINISHED,1,100.0,true
18,3,33,asdf,2026-01-02,2026-01-02,FINISHED,1,100.0,true
19,3,50,reda,2026-01-02,2026-01-02,FINISHED,1,100.0,true
20,4,12,hadi,2026-01-04,2026-01-05,FINISHED,1,100.0,true
21,3,150,mohamad,2026-01-04,2026-01-05,CANCELLED,1,0.0,false
22,3,55,hadi,2026-01-04,2026-01-04,FINISHED,1,100.0,true
23,3,22,refrfe,2026-01-23,2026-01-24,FINISHED,2,100.0,true
24,3,10,fgfgf,2026-01-23,2026-01-24,FINISHED,2,100.0,true
25,3,3,dsdds,2026-01-23,2026-01-24,FINISHED,3,100.0,true
26,3,121,swsxsw,2026-01-23,2026-01-24,FINISHED,3,100.0,true
27,3,11,sszsw,2026-01-24,2026-01-25,FINISHED,1,100.0,false
28,3,23,asa,2026-01-24,2026-01-25,FINISHED,2,100.0,false
29,3,121,swxswxw,2026-01-24,2026-01-25,FINISHED,3,100.0,false
30,3,122,wsww,2026-01-24,2026-01-25,FINISHED,3,100.0,false
31,3,700,ismael,2026-01-24,2026-01-24,CANCELLED,1,34.285714285714086,false
32,4,600,ismael,2026-01-24,2026-01-24,CANCELLED,1,0.0,false
33,4,400,ghfhj,2026-01-24,2026-01-25,CANCELLED,1,0.0,false
34,3,400,ismael,2026-01-24,2026-01-25,FINISHED,1,100.0,false
36,4,2000,ismael,2026-01-24,2026-01-25,CANCELLED,1,30.75,false
37,4,1000,hadi,2026-01-24,2026-01-25,IN_PROGRESS,1,2.0,false
